name,lat,lon,type,opening_hours
Adhunik Ladies Tailors,23.81226,90.42448,shop_tailor,
Adhunik Shoes,23.785415,90.426285,shop_shoes,
Adhunik Sweets & Confectionary,23.70146,90.428028,shop_bakery,
Adhuria Bus Stand,23.80159,90.584421,bus_station,
"Adi Mayer Dowa Hotel And Restaurant, Restaurant",24.070449,90.210791,restaurant,
Adi MistiMukh,23.616521,90.504494,shop_yes,
Adi Moron Chand Ghosh and Sons Mistanno Vandar,23.714982,90.411522,restaurant,Mo-Su 08:00-22:00
Adi Pothseba Hotel,24.084913,90.199659,restaurant,
"Adi Tangail Cadet School And College, School",23.795884,90.268201,school,
Adi Tangail Mistanno Vandar,23.838147,90.250887,restaurant,
"Adia Ladies Tailors & Fabrics, College Road, South Keraniganj, Dhaka",23.704337,90.3991,shop_tailor,
Adib Medical Hall,24.267073,89.926254,pharmacy,
